コード,銘柄名,市場,現在値,前日比(%)
1301,極洋,東P,"4,290","+40.0 (+0.94%) "
1305,ｉＦＴＯＰＩＸ（年１回決算型）,東ETF,"4,299","+19.0 (+0.44%) "
1306,ＮＦ　ＴＯＰＩＸ連動型上場投信,東ETF,"425.5","+2.4 (+0.57%) "
1308,上場インデックスファンドＴＯＰ,東ETF,"4,210","+31.0 (+0.74%) "
1309,上海株指数・上証５０連動型上場,東ETF,"55,250","+320.0 (+0.58%) "
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,東G,"412","-2.0 (-0.48%) "
1311,ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０,東ETF,"2,062","-13.0 (-0.63%) "
1319,ＮＦ日経３００株価指数連動型,東ETF,"750","+15.0 (+2.04%) "
131A,ＣＣＮグループ,東PRO,"--","-- (--%) "
1320,ｉＦ日経２２５（年１回決算型）,東ETF,"73,000","+700.0 (+0.97%) "
1321,ＮＦ日経２２５連動型上場投信,東ETF,"73,190","+620.0 (+0.85%) "
1322,中国Ａ株パンダＣＳＩ３００,東ETF,"12,395","-5.0 (-0.04%) "
1325,ＮＦボベスパ連動型上場投信,東ETF,"294.9","-1.1 (-0.37%) "
1326,ＳＰＤＲゴールド・シェア,東ETF,"63,600","+150.0 (+0.24%) "
1328,ＮＦ金価格連動型上場投資信託,東ETF,"16,405","+50.0 (+0.31%) "
1329,ｉＳコア　日経２２５,東ETF,"7,288","+62.0 (+0.86%) "
132A,アイエヌＨＬＤＧ,東PRO,"--","-- (--%) "
1330,上場インデックスファンド２２５,東ETF,"73,300","+650.0 (+0.89%) "
1332,ニッスイ,東P,"1,262","-15.5 (-1.21%) "
1333,Ｕｍｉｏｓ,東P,"1,251","-25.5 (-2.00%) "
133A,グローバルＸ　超短期米国債,東ETF,"1,086","+1.0 (+0.09%) "
1343,ＮＦ東証ＲＥＩＴ連動型投信,東ETF,"1,907.5","-8.5 (-0.44%) "
1345,上場Ｊリート隔月分配型,東ETF,"1,801","-5.0 (-0.28%) "
1346,ＭＡＸＩＳ　日経２２５上場投信,東ETF,"72,740","+490.0 (+0.68%) "
1348,ＭＡＸＩＳ　トピックス上場投信,東ETF,"4,212","+31.0 (+0.74%) "
1349,ＡＢＦ汎アジア債券,東ETF,"17,880","-5.0 (-0.03%) "
134A,アプライズ,東PRO,"--","-- (--%) "
1356,ＴＯＰＩＸベア２倍上場投信,東ETF,"112.2","-1.4 (-1.23%) "
1357,ＮＦ日経平均ダブルインバース,東ETF,"2,611","-45.0 (-1.69%) "
1358,上場日経レバレッジ指数,東ETF,"152,400","+3,350.0 (+2.25%) "
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,"4,290","+135.0 (+3.25%) "
1360,日経平均ベア２倍上場投信,東ETF,"64","-1.2 (-1.84%) "
1364,ｉシェアーズ　ＪＰＸ日経４００,東ETF,"3,763","+38.0 (+1.02%) "
1365,ｉＦ日経平均レバレッジ,東ETF,"4,897","+80.0 (+1.66%) "
1366,ｉＦ日経平均ダブルインバース,東ETF,"66","-1.0 (-1.49%) "
1367,ｉＦＴＰＸレバレッジ（２倍）,東ETF,"3,017","+67.0 (+2.27%) "
1368,ｉＦＴＰＸダブルインバース,東ETF,"163","-2.0 (-1.21%) "
1369,ＤＩＡＭ　ＥＴＦ　日経２２５,東ETF,"70,750","+780.0 (+1.11%) "
136A,三興商事,東PRO,"--","-- (--%) "
1375,ユキグニファクトリー,東P,"1,088","+7.0 (+0.65%) "
1376,カネコ種苗,東S,"1,429","+16.0 (+1.13%) "
1377,サカタのタネ,東P,"4,150","+5.0 (+0.12%) "
1379,ホクト,東P,"1,871","+1.0 (+0.05%) "
137A,Ｃｏｃｏｌｉｖｅ,東G,"676","+37.0 (+5.79%) "
1380,秋川牧園,東S,"992","-6.0 (-0.60%) "
1381,アクシーズ,東S,"3,705","+5.0 (+0.14%) "
1382,ホーブ,東S,"1,436","+10.0 (+0.70%) "
1383,ベルグアース,東S,"2,862","0.0 (0.00%) "
